chain,chain_index,sample,score
QOZMBFXTDV,16 14 25 12 1 5 23 19 3 21,0.3010502415733005 0.09451508336117675 0.9495325301341622 -0.014013730621354803 -0.9074852455621434 -0.5953486770070999 0.843250717729997 0.46479602480355875 -0.7282276685908629 0.6333315034349161,3.972982811052024
OFGUWVJQHR,14 5 6 20 22 21 9 16 7 17,0.09377113166772477 -0.6000373556677263 -0.5027007986006466 0.6076988170723494 0.712384468004601 0.6910075602187511 -0.3071685313992256 0.25547010971058515 -0.44805437582188534 0.3723661865661543,3.9671956193650506
MWMUMDYROS,12 22 12 20 12 3 24 17 14 18,-0.0012960665230998814 0.6957453410574159 -0.0267063364743243 0.6067694416535221 -0.05220557199945364 -0.7661805030910891 0.8755677587886777 0.32099843167766284 0.105349447662205 0.42830809430316763,3.392423745823472
PYHMQQUPOT,15 24 7 12 16 16 20 15 14 19,0.15483877887239683 0.92064626285755 -0.4037818510903657 -0.05385666657110422 0.30011202208742827 0.23983812615481281 0.5884397444500109 0.1781865381817147 0.13668092590126157 0.49879096033706904,3.3013679171679766
UAJCRUMRYZ,20 0 9 2 17 20 12 17 24 25,0.5721430646046315 -0.9425021523593318 -0.282118705817211 -0.8001403183363858 0.31710039519801514 0.5694773368696451 -4.650648597537277e-05 0.36850429325566836 0.8596269503275771 0.9819971699997045,4.068110265204581
CJDWAURUTM,2 9 3 22 0 20 17 20 19 12,-0.7756080053096377 -0.26332961255814236 -0.6988744553854249 0.7416846318812376 -0.9830793327931173 0.5499504574182039 0.37781014390554946 0.5468441527232983 0.5249533114206311 -0.026849683687347747,4.183400200730919
FJNGRIJPVG,5 9 13 6 17 8 9 15 21 6,-0.6062358704892399 -0.2335457125976943 0.025692908086161648 -0.49097355491747097 0.33009881188654 -0.3366312030374172 -0.2637373497537625 0.20372573634652769 0.6244185270561424 -0.49603193672297463,3.5451767222889363
OWYDCWDVJY,14 22 24 3 2 22 3 21 9 24,0.11946553466784837 0.7647902511996507 0.9220165524581081 -0.7461401255249616 -0.7955525165962762 0.6968553471998482 -0.7110610051495374 0.6386184760255784 -0.24588390964346085 0.918110967729584,4.162349179193729
XNHVVCZHZN,23 13 7 21 21 2 25 7 25 13,0.8265845804218486 0.04357306970316821 -0.45827452949070424 0.6650870231098895 0.6661384612318824 -0.7913715409780371 0.951424774664354 -0.436709009278462 0.9725159465232027 0.05826189570051166,4.0368534133829606
XCHCXCYYPS,23 2 7 2 23 2 24 24 15 18,0.8249093099950495 -0.8259949625341916 -0.4342261107990999 -0.8053828014307025 0.7900701671578931 -0.8417743058796061 0.907781530930353 0.8629213052879319 0.21381591809731693 0.41577928630062044,4.2136785439030255
PMXSBJPOWC,15 12 23 18 1 9 15 14 22 2,0.22853076539545958 -0.07087389375222619 0.8288855828637103 0.3908560954056455 -0.9099075093451809 -0.2724785158761358 0.22590380724379266 0.1271864299401928 0.7412137460117574 -0.8333566726939874,3.5146278975315366
UPUUSGBNSV,20 15 20 20 18 6 1 13 18 21,0.5617140131369942 0.2031676086349281 0.5479974509873307 0.581969242055874 0.43614933694938274 -0.5277751579798273 -0.8867487572162294 0.03323076496235999 0.4497607597841562 0.6895941647738153,4.096755023277829
ZBPPWVKNXJ,25 1 15 15 22 21 10 13 23 9,0.9745214402969831 -0.890696534735433 0.17415164134304906 0.17544721879873837 0.746472206206626 0.6465469720822501 -0.15588876153968512 0.06231455436716393 0.8153935682656646 -0.23804172133631596,3.4670267416101095
LLVNRIKKTI,11 11 21 13 17 8 10 10 19 8,-0.12242687696104193 -0.13507957818707172 0.6606017432852243 0.0667099292250175 0.33819187017417707 -0.3163630111806537 -0.19096514866202052 -0.19505861945970282 0.5148392116057721 -0.3219814552324294,3.0099228960175997
WXUTVTWBQQ,22 23 20 19 21 19 22 1 16 16,0.6948626648967908 0.7787970583374513 0.550510707305065 0.4900275212268219 0.6224298616397745 0.47563985659640773 0.7245616944127056 -0.8496959142426368 0.29181573718047304 0.2967816984419833,4.324835878684144
IRRLVQUUUV,8 17 17 11 21 16 20 20 20 21,-0.34090481433429964 0.3734842197035797 0.355998863217162 -0.11246099463406956 0.6434566792824514 0.27433583577516685 0.5676871200913325 0.6108578674467158 0.5646359133712893 0.6767042156111869,3.956886644457406
UNPYVTWJOG,20 13 15 24 21 19 22 9 14 6,0.5836790882530525 0.03388827443394948 0.21984090034235537 0.8905154261389139 0.6248448811032268 0.5052498456365688 0.7627718078805124 -0.25710970798029353 0.14330402250303265 -0.5098745798704274,3.8050664784719683
PNVNGALGBP,15 13 21 13 6 0 11 6 1 15,0.16421170485958148 0.0685942026891031 0.6353357928123509 0.011067818165990673 -0.49629926158479387 -0.9648251710550497 -0.11297259572024165 -0.5034713641178925 -0.9028909252593182 0.21980472937598794,3.422692671424674
NARBURWEOQ,13 0 17 1 20 17 22 4 14 16,0.029561170435434603 -0.9990969728193633 0.3429787442406813 -0.8644639787552559 0.5821924464159811 0.36085071199962226 0.6969004765080742 -0.6641174900289939 0.10322445503773547 0.23503227647576952,3.832139669145843
YHDOZTSEYX,24 7 3 14 25 19 18 4 24 23,0.8474268969308181 -0.4596839777737256 -0.7552308670880645 0.12351738769448817 0.948629802345712 0.4993721536118334 0.4318053127894843 -0.6587387462151708 0.8883042717956988 0.7738687777001152,4.297370008829837
WFVSGQQADE,22 5 21 18 6 16 16 0 3 4,0.7158801599285007 -0.5751478739566209 0.6498365448970114 0.414884145307546 -0.5121889385786313 0.3006911202628135 0.27587386151598126 -0.9955662937731753 -0.7345051365704227 -0.6815548362087358,4.353775891069098
NDJHBNJHNA,13 3 9 7 1 13 9 7 13 0,0.042691069328731235 -0.7264879254790444 -0.30690186475712644 -0.42314303438728174 -0.8772115348725769 0.013850011145350338 -0.3024976239692281 -0.4312996307479904 0.046352167876769323 -0.9480163853804051,3.4925481556087914
MNTRYFEGLS,12 13 19 17 24 5 4 6 11 18,-0.06691498031590792 0.07461663759265336 0.4668310325432026 0.3204343738656341 0.8799636871016527 -0.5584264037147513 -0.6226597052528153 -0.518297579906619 -0.14104338202675715 0.42468148908889636,3.699998053121942
JUSVVZXSSX,9 20 18 21 21 25 23 18 18 23,-0.2792240064634315 0.6104879110513437 0.4305808513175826 0.6857199560588361 0.6536619335261287 0.9746715504281405 0.8420734876932363 0.4129306907406778 0.4194370702800243 0.820150853472094,4.380754262767969
LFWCXCWKAB,11 5 22 2 23 2 22 10 0 1,-0.11387386469415417 -0.5628996586314845 0.7607493536507197 -0.8360140810754939 0.8284695071689194 -0.7978406186573124 0.7236095611698432 -0.21532213119613908 -0.9312155165987697 -0.8722966939584222,4.059031634497025
RZTCUEIWBP,17 25 19 2 20 4 8 22 1 15,0.37532624994716524 0.958873113426413 0.5107786397078415 -0.8073587809826184 0.5841376263234666 -0.6729824083853249 -0.3511924363459191 0.7270169843835057 -0.8549070718339518 0.18380617335106075,4.27901912033046
CADZATDZGN,2 0 3 25 0 19 3 25 6 13,-0.8209003217759148 -0.9765126191712399 -0.7162627601716733 0.9576206909113516 -0.975796547904221 0.47568657966673467 -0.7383929267226625 0.9983837093765937 -0.47377881530960675 0.057207780192598534,4.233071105044939
VRUHWFNCMH,21 17 20 7 22 5 13 2 12 7,0.6387620642624718 0.3294917628169356 0.5869690609802958 -0.4585412562664095 0.7647012635218347 -0.5790516432176851 0.05759004543635715 -0.7815848987574423 -0.011098343969188296 -0.44764726575661595,3.9536192119228137
RKIYHMSORV,17 10 8 24 7 12 18 14 17 21,0.3690123439609345 -0.18103361442665133 -0.3471820467383975 0.8667857346533641 -0.4410962562078091 -0.07010933525202212 0.40504743087353545 0.1412840546079177 0.369073124847227 0.6463321027690963,3.574706717322894
MBBUCIYOIU,12 1 1 20 2 8 24 14 8 20,-0.054766229356643326 -0.8828998439021167 -0.8807213570445971 0.5767303104197301 -0.7850633367059223 -0.31879653408894004 0.8908674339443248 0.09574297336123161 -0.3467289742904198 0.5917273450792413,3.897620460721129
BMKXGCEKBW,1 12 10 23 6 2 4 10 1 22,-0.8817868869851508 -0.05652988028275452 -0.21535735411286905 0.8014467499796523 -0.49685271002137466 -0.7725773897694748 -0.6520049601574494 -0.2249510437653528 -0.9198404832164839 0.7485964150933082,3.951672002486362
NZBQOIFJKG,13 25 1 16 14 8 5 9 10 6,0.035109347732478424 0.9289630729292355 -0.906315055534928 0.27400066615926977 0.08967013842818883 -0.37517199806075463 -0.5618286869488684 -0.26936080748213187 -0.1871153515359234 -0.5369110422966707,3.552740189338398
FXXVXUGMBP,5 23 23 21 23 20 6 12 1 15,-0.6121806078313656 0.7763522614443517 0.8254460552367362 0.6172422151413972 0.8189784186512918 0.5590170319653167 -0.5058165663364267 -0.009012656670703612 -0.8627441747702691 0.17537590992178242,4.13839598105362
BFXZPBJIYN,1 5 23 25 15 1 9 8 24 13,-0.9100683606288456 -0.5542846124797343 0.7698466103527974 0.964333788727824 0.15645386926506766 -0.8832850389808808 -0.26987999396611384 -0.3727267506955636 0.8844737676755683 0.03150746790461101,3.8403790828751245
GETCRAFRTW,6 4 19 2 17 0 5 17 19 22,-0.4876792834762955 -0.6909699447148743 0.4853077061524407 -0.7697348652119766 0.37512430205463554 -0.9457230390249192 -0.5667090476084504 0.36571649277834584 0.5318376819141795 0.7651657616501293,4.42684312775614
FTQNSLIXKD,5 19 16 13 18 11 8 23 10 3,-0.5909655663186002 0.4836092696456409 0.29725835613789875 0.019983951540407885 0.40440948823279266 -0.14499327446249377 -0.3219834326171711 0.8306890411767343 -0.22016422396601598 -0.7034432025759958,3.637394724743132
LJSZZYHAVQ,11 9 18 25 25 24 7 0 21 16,-0.1446813369276978 -0.2797812106339157 0.39720448555064736 0.987385407263554 0.9763840987546368 0.9114326932558328 -0.440944599398039 -0.9984624808620521 0.6280438785379807 0.2619544546420747,4.080336737286284
UZRWYIFNBE,20 25 17 22 24 8 5 13 1 4,0.5904284067627124 0.9242198129365815 0.32725379518599707 0.7133611438560128 0.8495676879321954 -0.3159454578555292 -0.5518684077969072 0.06437137972703977 -0.8936577954889471 -0.6264342548664514,4.173441213555041
HACHTIZNLJ,7 0 2 7 19 8 25 13 11 9,-0.39890227751239893 -0.9281216024522909 -0.8447249361551321 -0.4536335324186116 0.49077146974563046 -0.3410796481512308 0.9588592705797381 0.025855255985712144 -0.13671855908256725 -0.2986147425550041,3.8492961018644327
KQMBJKZXZD,10 16 12 1 9 10 25 23 25 3,-0.21498021734496597 0.29901509585565234 -0.03411444425766352 -0.8724856630463234 -0.29538452516848746 -0.19746470077416522 0.9754155712912267 0.778390837158969 0.9772534051398889 -0.7613056979030353,3.6560840769856786
IKWICCYVTP,8 10 22 8 2 2 24 21 19 15,-0.3772003017440295 -0.16353872720317342 0.6986283263571409 -0.3739158505462994 -0.7740154783172963 -0.7944603149866782 0.8872792150568287 0.6841453264546995 0.525494621558664 0.21972504736289822,4.098010500775867
UBBPBHWDEA,20 1 1 15 1 7 22 3 4 0,0.5913429552503535 -0.8857721808811432 -0.8950450155564127 0.17481157200997144 -0.8797857452905895 -0.4058694414923145 0.7550381446308596 -0.7602164201367898 -0.6234682552859272 -0.9659896922152806,4.293772943545257
UXXAQTEJPC,20 23 23 0 16 19 4 9 15 2,0.5418483072592843 0.8081376379850109 0.81180029760641 -0.9324372342050213 0.3008997438443719 0.48388041540964544 -0.6839363909938769 -0.28405473972284057 0.20383746451006135 -0.8393892364922424,4.162371037477886
ZLVDKCGZDY,25 11 21 3 10 2 6 25 3 24,0.9502333132721561 -0.08243705424696524 0.6698769377061085 -0.7374549668076205 -0.20962673069624516 -0.8336491104449812 -0.5060890024596176 0.9584703577274571 -0.724903397878196 0.8762173374892235,4.094053768912662
JENDRPVGFF,9 4 13 3 17 15 21 6 5 5,-0.27949650610773213 -0.6800301143495195 0.002247276699966827 -0.7626148103610084 0.3747084695920315 0.19975052798051518 0.6846947431278421 -0.47021565215889227 -0.5439372528379991 -0.5945605121499853,3.9384830748176367
SDRZEMUMSJ,18 3 17 25 4 12 20 12 18 9,0.4025748938852578 -0.7022235952972036 0.31398392821395027 0.9436477669923091 -0.6690178937232227 -0.06789693569317401 0.5475032464289076 -0.01831886297181118 0.41283782023420423 -0.2382375620084447,3.7505550023751764
BTHNNFRJWQ,1 19 7 13 13 5 17 9 22 16,-0.8836705052502676 0.5032418378362067 -0.4258695791482501 0.07079750018055875 0.022810750401209168 -0.5628969978359426 0.3617257415814379 -0.30056769281020834 0.704166655569805 0.2874266184439156,3.7141182499143857
RGEKXGYAPE,17 6 4 10 23 6 24 0 15 4,0.3831864523489499 -0.47608008789911516 -0.6285261464905902 -0.19602994839938748 0.8339350291578678 -0.512141459340107 0.8921988042908253 -0.9423346555870598 0.20000309433397123 -0.6530370075667062,4.177943371194676
SNRCQKRWHT,18 13 17 2 16 10 17 22 7 19,0.45115624425578305 0.002139643821915227 0.377528127761507 -0.8418326885294962 0.2584351504474205 -0.16557933705215033 0.31420355248673704 0.7293572054177528 -0.3876956463117218 0.5158921712057996,3.684892718469808
UOYYTAATOG,20 14 24 24 19 0 0 19 14 6,0.5955870465081845 0.1382175776517045 0.8476202482837052 0.8612805953516116 0.4806657952274609 -0.973353095174786 -0.945212127393068 0.4681240177873207 0.1089910175611759 -0.49703500513035226,4.118888823921573
ZMALQMLBYJ,25 12 0 11 16 12 11 1 24 9,0.9968890585721402 -0.004338159735275404 -0.9640694070502467 -0.08407642038392593 0.26755348629280884 -0.02098425609456389 -0.11120670400552779 -0.9095696329451277 0.8848163495519108 -0.2543800720064724,2.9824697814375907
SLZCMTLGLM,18 11 25 2 12 19 11 6 11 12,0.44891830251185083 -0.08643383334362142 0.9519458581495523 -0.8188308567962017 -0.06380877984769473 0.47129094064827415 -0.09817282739090083 -0.5006089573438448 -0.13576671289605935 -0.04524429929130447,3.2410825192067247
CWPPLMGSJU,2 22 15 15 11 12 6 18 9 20,-0.8460162425188122 0.7646528929018324 0.17274761967343788 0.20434061535899928 -0.09846046260983687 -0.00572066352895817 -0.5090757407054147 0.4489163445036404 -0.23458106817659719 0.5882502091046862,3.472342831563591
KNIEAGKIMI,10 13 8 4 0 6 10 8 12 8,-0.17379387010713887 0.03831074433310433 -0.35416176595422155 -0.6922162776363472 -0.9911683704556342 -0.5172088766668368 -0.1906315082985739 -0.3537012357860809 -0.02575002677319138 -0.3265054750926162,3.4131207872657154
KHMNGOAYXU,10 7 12 13 6 14 0 24 23 20,-0.16267155694630686 -0.4076591775550784 -0.030612648550707 0.05198828922207843 -0.5011831739249661 0.11057267957418593 -0.9900959347134968 0.9028383063217669 0.7820467334323544 0.5673216596575303,3.571651719584118
IPRBMLUMTI,8 15 17 1 12 11 20 12 19 8,-0.36902831695706095 0.19283342950824833 0.33861810433320017 -0.86880704695826 -0.02141550553193894 -0.11852930503240189 0.5543203190829855 -0.0471109562195946 0.4647589797810703 -0.32360198532155593,3.2816234409021345
SAFHVDCBUN,18 0 5 7 21 3 2 1 20 13,0.4391307233291497 -0.9537576470054434 -0.5689474554441336 -0.41959593353259317 0.6488399022602578 -0.7366989470591161 -0.8248774343793333 -0.8480620027136443 0.576506247275574 0.0602434678462469,4.3037501567944005
YUSXJMTNAW,24 20 18 23 9 12 19 13 0 22,0.9154224786532548 0.5418323101354876 0.38846365328952004 0.8046758157816538 -0.2494401315967485 -0.042859986610925827 0.4760202471800081 0.007705934610599874 -0.9637475368327948 0.7350778083259508,3.864332387544206
GRATGOYRSK,6 17 0 19 6 14 24 17 18 10,-0.49509337079721316 0.30862714963116966 -0.931461820012693 0.47698888897864955 -0.5216357933030129 0.09614420842606264 0.8996652265413829 0.3839999992161094 0.38690107202763335 -0.15651693751715423,3.9034993932851383
JIOVNAIDVI,9 8 14 21 13 0 8 3 21 8,-0.2500234894576854 -0.35025856775166453 0.12942670156890457 0.6657484999898702 0.07084540274930284 -0.9289708496691396 -0.3150347332850678 -0.7250826992312775 0.660764234722284 -0.37076353439964227,3.7334855737017674
LKGDIJQWUV,11 10 6 3 8 9 16 22 20 21,-0.13365132709330552 -0.2068963041937817 -0.48143731101172604 -0.7318980601470977 -0.3332902565736968 -0.25155335799927814 0.2735692720957579 0.7565064771727561 0.5999203865867178 0.655390508509011,3.7933616485782555
STFZEQSSXM,18 19 5 25 4 16 18 18 23 12,0.42335220170382315 0.4845516626934203 -0.6152636668393616 0.9920574389463397 -0.6672935157522546 0.30381694329490916 0.3992791771993882 0.44145794101398894 0.8097028432383517 -0.011896902825748956,4.143508939538535
BYQKYFFFVD,1 24 16 10 24 5 5 5 21 3,-0.8604265674282865 0.8968075846253509 0.26365653454412286 -0.15619819504712873 0.8809303669135546 -0.6016370263707402 -0.5799033170781753 -0.5934878828617725 0.6871074401336907 -0.7437542353355329,4.256035242049435
NQEQCBUVWT,13 16 4 16 2 1 20 21 22 19,0.006557799979960199 0.2802952734196169 -0.6240434562665647 0.3026262629830412 -0.80211304151278 -0.9097378038505488 0.5964805101986292 0.6368694934622159 0.7572743873885079 0.4721290418317319,4.113514436301813
WXXRNCRPZA,22 23 23 17 13 2 17 15 25 0,0.7431784020856518 0.8122027152515412 0.7786231993811772 0.33801060153276685 0.003001564211259744 -0.8183570469803054 0.38075971230873384 0.17620395450209658 0.9796030959813093 -0.9936111017018139,3.9218946379037622
DXYPBKOQZU,3 23 24 15 1 10 14 16 25 20,-0.7532048429527072 0.8368299762015494 0.9112763936534558 0.17913945467299497 -0.8640002931785034 -0.18845057143113153 0.08247741523462282 0.25505048107237416 0.9465106512832966 0.5784880801795895,3.6982211600625665
XLGAQTSDRA,23 11 6 0 16 19 18 3 17 0,0.7905995099686176 -0.14958873072110013 -0.5123080695694211 -0.9423439797306015 0.24852394490745278 0.5272473481945692 0.422202862555656 -0.7247772161477206 0.35334947513028814 -0.9877086186647801,4.1592629713486176
ROLMPPVOJM,17 14 11 12 15 15 21 14 9 12,0.35232022380274586 0.12116745583835709 -0.11530691446205132 -0.030706834038852993 0.1622500424170863 0.2056113197246916 0.6447573452206476 0.10306713458335048 -0.23834408392582573 -0.040913117389653086,2.28002403557694
QXMUUJOKEX,16 23 12 20 20 9 14 10 4 23,0.26808313542847206 0.8086658607495703 -0.05346289229768697 0.5641609703985693 0.560984699821897 -0.2674534235921153 0.08756799051799802 -0.18372308041564533 -0.6271026667788564 0.803155668651401,3.613997406608203
NDNOVNHRDJ,13 3 13 14 21 13 7 17 3 9,0.006348418658135735 -0.7460569978168854 0.04190084401741401 0.09220075290619567 0.6320993553960657 0.012711407032205857 -0.3873257780675079 0.30957893793082825 -0.7669866078111942 -0.26395858115920356,3.1550405284156224
QUFGTDXLFS,16 20 5 6 19 3 23 11 5 18,0.25030710758411345 0.5948973982081502 -0.5532971273528142 -0.4878450354553008 0.5099490407374461 -0.7600594291943803 0.8075902566543349 -0.13776199238236964 -0.5570098639977517 0.4462393044637645,4.154229802541085
DVTPJWEKHR,3 21 19 15 9 22 4 10 7 17,-0.7162103394641428 0.6625047367379953 0.5242907553067191 0.20132394859017833 -0.3010070157868667 0.7085115880031319 -0.6732428793197855 -0.17671722469550488 -0.4353144518676111 0.31786573772023763,3.95394417038472
EMFLWXTAYU,4 12 5 11 22 23 19 0 24 20,-0.6714782035196221 -0.010366614225752357 -0.5716723637436265 -0.14458863400579647 0.7098775307240024 0.8186756316219925 0.4797403911188456 -0.924937750541813 0.8977170455493069 0.609656970734723,4.125274876514911
FYSLRIHNJA,5 24 18 11 17 8 7 13 9 0,-0.5474842144225449 0.8972543550392353 0.3860849114625442 -0.1458363041578452 0.3395783398039378 -0.363151761655385 -0.4381391897715492 0.032150303472539 -0.24255871437451115 -0.9358299989383032,3.7206787239132493
GVNOTECJBS,6 21 13 14 19 4 2 9 1 18,-0.47168890655331275 0.6719757800607495 0.056739532489437305 0.0898942659340416 0.49059617778164144 -0.6497999948896476 -0.8437426386000408 -0.23844247058885903 -0.9092372525635812 0.3930573632301777,3.880993522524602
VJOPPEUXOD,21 9 14 15 15 4 20 23 14 3,0.6490975763653222 -0.2789532414956366 0.10151868935132202 0.20639580889088793 0.1886573868164647 -0.6678673142343408 0.555601435242417 0.7719273552639521 0.12739622924693728 -0.7279111773344136,3.6219420734378365
WKBAPETJZR,22 10 1 0 15 4 19 9 25 17,0.7151491864739585 -0.18105693798276712 -0.8711131411707183 -0.9785312743639039 0.1555759563431811 -0.6750216331067418 0.48597581206911866 -0.2918497277927474 0.9775703584644602 0.32702729606075254,3.9950569431215333
PPVQPZPXPY,15 15 21 16 15 25 15 23 15 24,0.17489808749772506 0.16199664640320854 0.6837782774575285 0.2640729505534647 0.16427431263910064 0.9565610752021771 0.20444746108597545 0.8394085941983933 0.19004350799473868 0.8738747024742102,3.3508192164673294
QMXYPBHHHX,16 12 23 24 15 1 7 7 7 23,0.3031384377704054 -0.024913147393021973 0.8293675921566326 0.8616197751584156 0.1818296196259681 -0.8582009073269263 -0.43996585837100577 -0.3867201873934816 -0.3946757831953178 0.8459298483366593,3.8559010848566797
NFGOKODCLP,13 5 6 14 10 14 3 2 11 15,0.06280758839547729 -0.5887614489132653 -0.48998225932828654 0.08374777219676477 -0.2158260951816393 0.13083788247030181 -0.7219918918662827 -0.8295926938452689 -0.10858867744129874 0.17403917302743466,3.1253573079985952
